n1,r1,n2,r2,ratio
2048,20,4096,48,1.33377425
2048,20,4096,56,1.42633656
2048,20,4096,64,1.510697439
2048,24,4096,24,0.966654629
2048,24,4096,32,1.068707114
2048,24,4096,40,1.167930661
2048,24,4096,48,1.263726426
2048,24,4096,56,1.355105422
2048,24,4096,64,1.438141561
2048,32,4096,32,0.96575838
2048,32,4096,40,1.053291536
2048,32,4096,48,1.141173003
2048,32,4096,56,1.220756255
2048,32,4096,64,1.291294912
2048,40,4096,40,0.958006784
2048,40,4096,48,1.044228695
2048,40,4096,56,1.117051234
2048,40,4096,64,1.180555556
2048,48,4096,48,0.96734045
2048,48,4096,56,1.040424866
2048,48,4096,64,1.101288056
2048,56,4096,56,0.974424175
2048,56,4096,64,1.030940594
2048,64,4096,64,0.971604826
4096,5,4096,5,1
4096,5,4096,8,1.001879699
4096,5,4096,10,1.04887218
4096,5,4096,16,1.174450549
4096,5,4096,20,1.214285714
4096,5,4096,24,1.303571429
4096,5,4096,32,1.421992481
4096,5,4096,40,1.549342105
4096,5,4096,48,1.677396617
4096,5,4096,56,1.793434479
4096,5,4096,64,1.887335526
4096,8,4096,8,1
4096,8,4096,10,1.013133208
4096,8,4096,16,1.149624765
4096,8,4096,20,1.195121951
4096,8,4096,24,1.266885553
4096,8,4096,32,1.408888368
4096,8,4096,40,1.52673546
4096,8,4096,48,1.664790494
4096,8,4096,56,1.780889842
4096,8,4096,64,1.883794559
4096,10,4096,10,1
4096,10,4096,16,1.113700565
4096,10,4096,20,1.191666667
4096,10,4096,24,1.248744507
4096,10,4096,32,1.393243879
4096,10,4096,40,1.52259887
4096,10,4096,48,1.643209877
4096,10,4096,56,1.766865079
4096,10,4096,64,1.868229167
4096,16,4096,16,1
4096,16,4096,20,1.047049442
4096,16,4096,24,1.10994152
4096,16,4096,32,1.224282297
4096,16,4096,40,1.326315789
4096,16,4096,48,1.431471399
4096,16,4096,56,1.53919281
4096,16,4096,64,1.638616891
4096,20,4096,20,1
4096,20,4096,24,1.051678562
4096,20,4096,32,1.170133438
4096,20,4096,40,1.277472527
4096,20,4096,48,1.378917379
4096,20,4096,56,1.482451222
4096,20,4096,64,1.567744755
4096,24,4096,24,1
4096,24,4096,32,1.112088116
4096,24,4096,40,1.208219178
4096,24,4096,48,1.308579668
4096,24,4096,56,1.403878313
