n1,r1,n2,r2,delta,ratio
512,2,512,8,0.96,1.071827833
512,2,512,8,0.98,1.092824563
512,2,512,8,1,1.114521185
512,2,512,10,0.02,0.379141807
512,2,512,10,0.04,0.55264738
512,2,512,10,0.06,0.594494354
512,2,512,10,0.08,1.137425422
512,2,512,10,0.1,1.07423512
512,2,512,10,0.12,1.079500979
512,2,512,10,0.14,1.066336333
512,2,512,10,0.16,1.083262306
512,2,512,10,0.18,1.148914567
512,2,512,10,0.2,1.103971733
512,2,512,10,0.22,1.109131257
512,2,512,10,0.24,1.102957985
512,2,512,10,0.26,1.092154758
512,2,512,10,0.28,1.091814377
512,2,512,10,0.3,1.091468839
512,2,512,10,0.32,1.12557724
512,2,512,10,0.34,1.079979693
512,2,512,10,0.36,1.085724266
512,2,512,10,0.38,1.116691104
512,2,512,10,0.4,1.087160409
512,2,512,10,0.42,1.10024036
512,2,512,10,0.44,1.113729059
512,2,512,10,0.46,1.07423512
512,2,512,10,0.48,1.099511241
512,2,512,10,0.5,1.097437809
512,2,512,10,0.52,1.072080906
512,2,512,10,0.54,1.086751661
512,2,512,10,0.56,1.120578788
512,2,512,10,0.58,1.089045347
512,2,512,10,0.6,1.095364377
512,2,512,10,0.62,1.107180161
512,2,512,10,0.64,1.071059897
512,2,512,10,0.66,1.103732155
512,2,512,10,0.68,1.123277605
512,2,512,10,0.7,1.148468894
512,2,512,10,0.72,1.149062348
512,2,512,10,0.74,1.181352014
512,2,512,10,0.76,1.137425422
512,2,512,10,0.78,1.137425422
512,2,512,10,0.8,1.15607174
512,2,512,10,0.82,1.134342968
512,2,512,10,0.84,1.125195041
512,2,512,10,0.86,1.143640861
512,2,512,10,0.88,1.181658632
512,2,512,10,0.9,1.140483017
